accession	strain	tier	contigs	bases	CDS	rRNA	tRNA	tmRNA	flag
GCF_000008725.1	D/UW-3/CX	primary	1	1042519	892	6	37	1	
GCF_000012125.1	A/HAR-13	primary	2	1051969	911	6	37	1	
GCF_000026905.1	B/TZ1A828/OT	primary	1	1044282	897	6	37	1	
GCF_000026925.1	Jali20	primary	1	1044352	899	6	37	1	
GCF_000068525.2	UCH-1	primary	1	1038863	890	6	37	1	
GCF_000068585.1	L2/434/Bu	primary	1	1038842	891	6	37	1	
GCF_000092485.1	D-EC	primary	2	1050015	901	6	37	1	
GCF_000092665.1	E/150	primary	1	1042996	895	6	37	1	
GCF_000092685.1	G/9768	primary	1	1042810	893	6	37	1	
GCF_000092705.1	G/11222	primary	1	1042354	894	6	37	1	
GCF_000092725.1	G/11074	primary	1	1042875	893	6	37	1	
GCF_000092745.1	E/11023	primary	1	1043025	893	6	37	1	
GCF_000092805.1	G/9301	primary	1	1042811	894	6	37	1	
GCF_000093005.1	D-LC	primary	2	1050013	899	6	37	1	
GCF_000173475.1	6276	primary	1	1043181	895	6	37	1	
GCF_000173495.1	6276s	primary	1	1043182	895	6	37	1	
GCF_000173515.1	70	primary	1	1048006	898	6	37	1	
GCF_000173535.1	70s	primary	1	1046064	897	6	37	1	
GCF_000174055.1	2923	primary	1	1042757	896	6	37	1	
GCF_000210495.1	Sweden2	primary	1	1042839	894	6	37	1	
GCF_000220105.1	L2c	primary	1	1038313	892	6	37	1	
GCF_000226605.1	A2497	primary	2	1051806	908	6	37	1	
GCF_000284475.1	A2497	primary	1	1044325	900	6	37	1	
GCF_000304495.1	E/SW3	primary	1	1042903	894	6	37	1	
GCF_000304515.1	F/SW4	primary	1	1042736	895	6	37	1	
GCF_000304535.1	F/SW5	primary	1	1042743	894	6	37	1	
GCF_000318525.1	A/363	primary	2	1051528	908	6	37	1	
GCF_000318565.1	A/7249	primary	2	1051879	906	6	37	1	
GCF_000318645.1	E/Bour	primary	2	1050091	904	6	37	1	
GCF_000318765.1	Ia/SotonIa1	primary	2	1050130	902	6	37	1	
