accession	strain	bioproject	auto_verdict	override	override_reason	final_verdict	hard_flags	strong_flags	weak_notes
GCF_000008725.1	D/UW-3/CX	PRJNA45	INCLUDE			INCLUDE			sparse_metadata (no collection date, location or host) || duplicate_strain_name
GCF_000012125.1	A/HAR-13	PRJNA13885	REVIEW	INCLUDE	A/HAR-13 species type-strain assembly; ANI mismatch flag is an NCBI artifact on the reference itself; confirm with fastANI in bin/03	INCLUDE		ANI match status below_threshold_mismatch	sparse_metadata (no collection date, location or host)
GCF_000026905.1	B/TZ1A828/OT	PRJEA32653	INCLUDE			INCLUDE			sparse_metadata (no collection date, location or host)
GCF_000026925.1	Jali20	PRJEA32655	INCLUDE			INCLUDE			sparse_metadata (no collection date, location or host)
GCF_000068525.2	UCH-1	PRJNA28585	INCLUDE			INCLUDE			
GCF_000068585.1	L2/434/Bu	PRJNA28583	INCLUDE			INCLUDE			sparse_metadata (no collection date, location or host)
GCF_000092485.1	D-EC	PRJNA48087	INCLUDE			INCLUDE			sparse_metadata (no collection date, location or host)
GCF_000092665.1	E/150	PRJNA43143	INCLUDE			INCLUDE			sparse_metadata (no collection date, location or host)
GCF_000092685.1	G/9768	PRJNA43145	INCLUDE			INCLUDE			sparse_metadata (no collection date, location or host)
GCF_000092705.1	G/11222	PRJNA43147	INCLUDE			INCLUDE			sparse_metadata (no collection date, location or host)
GCF_000092725.1	G/11074	PRJNA43149	INCLUDE			INCLUDE			sparse_metadata (no collection date, location or host)
GCF_000092745.1	E/11023	PRJNA43141	INCLUDE			INCLUDE			sparse_metadata (no collection date, location or host)
GCF_000092805.1	G/9301	PRJNA45851	INCLUDE			INCLUDE			sparse_metadata (no collection date, location or host)
GCF_000093005.1	D-LC	PRJNA48089	INCLUDE			INCLUDE			sparse_metadata (no collection date, location or host)
GCF_000173475.1	6276	PRJNA32183	INCLUDE			INCLUDE			sparse_metadata (no collection date, location or host)
GCF_000173495.1	6276s	PRJNA32185	INCLUDE			INCLUDE			sparse_metadata (no collection date, location or host)
GCF_000173515.1	70	PRJNA32187	INCLUDE			INCLUDE			sparse_metadata (no collection date, location or host)
GCF_000173535.1	70s	PRJNA32189	INCLUDE			INCLUDE			sparse_metadata (no collection date, location or host)
GCF_000174055.1	2923	PRJNA32539	INCLUDE			INCLUDE			sparse_metadata (no collection date, location or host)
GCF_000175515.1	L2tet1	PRJNA39293	REVIEW	EXCLUDE	L2tet1 laboratory-selected tetracycline-resistant derivative (PRJNA39293, lateral gene transfer study)	EXCLUDE		tetracycline-resistance marker/selection (tetR/tetN) 'tet1' in strain/organism_name/biosample_text || engineering language 'lateral gene transfer' in bioproject_titles || CheckM contamination 6.67	sparse_metadata (no collection date, location or host)
GCF_000210495.1	Sweden2	PRJEA43167	INCLUDE			INCLUDE			sparse_metadata (no collection date, location or host)
GCF_000220105.1	L2c	PRJNA47581	INCLUDE			INCLUDE			sparse_metadata (no collection date, location or host)
GCF_000226605.1	A2497	PRJNA53575	INCLUDE			INCLUDE			sparse_metadata (no collection date, location or host) || duplicate_strain_name
GCF_000284475.1	A2497	PRJEA32651	INCLUDE			INCLUDE			sparse_metadata (no collection date, location or host) || duplicate_strain_name
GCF_000304495.1	E/SW3	PRJEA71079	INCLUDE			INCLUDE			sparse_metadata (no collection date, location or host)
GCF_000304515.1	F/SW4	PRJEA71085	INCLUDE			INCLUDE			sparse_metadata (no collection date, location or host)
GCF_000304535.1	F/SW5	PRJEA71087	INCLUDE			INCLUDE			sparse_metadata (no collection date, location or host)
GCF_000318525.1	A/363	PRJEA71065	INCLUDE			INCLUDE			sparse_metadata (no collection date, location or host)
GCF_000318565.1	A/7249	PRJEA71069	INCLUDE			INCLUDE			sparse_metadata (no collection date, location or host)
GCF_000318645.1	E/Bour	PRJEA71077	INCLUDE			INCLUDE			sparse_metadata (no collection date, location or host) || duplicate_strain_name
GCF_000318765.1	Ia/SotonIa1	PRJEA71093	INCLUDE			INCLUDE			sparse_metadata (no collection date, location or host)
GCF_000318785.1	Ia/SotonIa3	PRJEA71095	INCLUDE			INCLUDE			sparse_metadata (no collection date, location or host)
GCF_000318825.1	L1/440/LN	PRJEA71099	INCLUDE			INCLUDE			sparse_metadata (no collection date, location or host) || duplicate_strain_name
GCF_000318845.1	L1/115	PRJEA71101	INCLUDE			INCLUDE			sparse_metadata (no collection date, location or host)
GCF_000318865.1	L1/224	PRJEA71103	INCLUDE			INCLUDE			sparse_metadata (no collection date, location or host)
GCF_000318885.1	L2/25667R	PRJEA71105	INCLUDE			INCLUDE			
GCF_000318905.1	L2b/8200/07	PRJEA71107	INCLUDE			INCLUDE			sparse_metadata (no collection date, location or host)
GCF_000318925.1	L2b/UCH-2	PRJEA71109	INCLUDE			INCLUDE			sparse_metadata (no collection date, location or host)
GCF_000318985.1	L2b/795	PRJEA71115	INCLUDE			INCLUDE			sparse_metadata (no collection date, location or host)
GCF_000319105.1	L3/404/LN	PRJEA71127	INCLUDE			INCLUDE			sparse_metadata (no collection date, location or host) || duplicate_strain_name
GCF_000364765.1	L2/434/Bu(i)	PRJNA182150	INCLUDE			INCLUDE			sparse_metadata (no collection date, location or host) || name_qualifier_in_parentheses
GCF_000364785.1	L2/434/Bu(f)	PRJNA182165	INCLUDE			INCLUDE			sparse_metadata (no collection date, location or host) || name_qualifier_in_parentheses
GCF_000441585.1	RC-F/69	PRJNA53845	INCLUDE			INCLUDE			sparse_metadata (no collection date, location or host)
GCF_000441615.1	RC-L2(s)/46	PRJNA53847	INCLUDE			INCLUDE			sparse_metadata (no collection date, location or host) || name_qualifier_in_parentheses
GCF_000441635.1	RC-F(s)/852	PRJNA53849	REVIEW	QUALITY	RC-F(s)/852 natural clinical isolate; CheckM contamination 7.15 and genome about 40 kb larger than typical	QUALITY_REVIEW		CheckM contamination 7.15	sparse_metadata (no collection date, location or host) || name_qualifier_in_parentheses
GCF_000441655.1	RC-J/943	PRJNA53851	INCLUDE			INCLUDE			sparse_metadata (no collection date, location or host)
GCF_000441675.1	RC-J/953	PRJNA53853	INCLUDE			INCLUDE			sparse_metadata (no collection date, location or host)
GCF_000441695.1	RC-L2(s)/3	PRJNA53855	INCLUDE			INCLUDE			sparse_metadata (no collection date, location or host) || name_qualifier_in_parentheses
GCF_000441715.1	RC-F(s)/342	PRJNA53857	REVIEW	QUALITY	RC-F(s)/342 natural clinical isolate; CheckM contamination 7.15 and genome about 40 kb larger than typical	QUALITY_REVIEW		CheckM contamination 7.15	sparse_metadata (no collection date, location or host) || name_qualifier_in_parentheses
GCF_000441735.1	RC-J(s)/122	PRJNA53859	INCLUDE			INCLUDE			sparse_metadata (no collection date, location or host) || name_qualifier_in_parentheses
GCF_000441755.1	RC-J/966	PRJNA53861	INCLUDE			INCLUDE			sparse_metadata (no collection date, location or host)
GCF_000441775.1	J/6276tet1	PRJNA53863	REVIEW	EXCLUDE	J/6276tet1 laboratory-selected tetracycline-resistant derivative	EXCLUDE		tetracycline-resistance marker/selection (tetR/tetN) 'tet1' in strain/organism_name/bioproject_titles/biosample_text || CheckM contamination 7.15	sparse_metadata (no collection date, location or host)
GCF_000441795.1	RC-J/971	PRJNA66011	INCLUDE			INCLUDE			sparse_metadata (no collection date, location or host)
GCF_000441815.1	RC-L2/55	PRJNA66013	INCLUDE			INCLUDE			sparse_metadata (no collection date, location or host)
GCF_000507225.1	C/TW-3	PRJNA230246	INCLUDE			INCLUDE			
GCF_000590575.1	F/1-93	PRJNA213111	INCLUDE			INCLUDE			
GCF_000590615.1	F/6-94	PRJNA213111	INCLUDE			INCLUDE			
GCF_000590635.1	F/11-96	PRJNA213111	INCLUDE			INCLUDE			
GCF_000590675.1	D/13-96	PRJNA213111	INCLUDE			INCLUDE			
GCF_000590755.1	J/31-98	PRJNA213111	INCLUDE			INCLUDE			
