tier	species	accession	organism_name	strain	refseq_category	length
genus	Chlamydia muridarum	GCF_000006685.1	Chlamydia muridarum str. Nigg	Nigg	reference genome	1080451
genus	Chlamydia muridarum	GCF_000709455.1	Chlamydia muridarum str. Nigg 2 MCR	Nigg 2 MCR		1072952
genus	Chlamydia muridarum	GCF_002997975.1	Chlamydia muridarum str. Nigg	Nigg		1072952
genus	Chlamydia muridarum	GCF_057657695.1	Chlamydia muridarum	Cmtc0305::Tn		1074948
genus	Chlamydia suis	GCF_900149385.2	Chlamydia suis		reference genome	1094002
genus	Chlamydia suis	GCF_009931335.1	Chlamydia suis	R19		1102215
genus	Chlamydia suis	GCF_019405085.1	Chlamydia suis	S45 RIF		1080505
genus	Chlamydia suis	GCF_900149505.2	Chlamydia suis			1082175
genus	Chlamydia pneumoniae	GCF_000007205.1	Chlamydia pneumoniae TW-183	TW-183	reference genome	1225935
genus	Chlamydia pneumoniae	GCF_000008745.1	Chlamydia pneumoniae CWL029	CWL029		1230230
genus	Chlamydia pneumoniae	GCF_000091085.2	Chlamydia pneumoniae AR39	AR39		1229853
genus	Chlamydia pneumoniae	GCF_001007065.1	Chlamydia pneumoniae			1228579
genus	Chlamydia pneumoniae	GCF_001007125.1	Chlamydia pneumoniae			1229887
genus	Chlamydia psittaci	GCF_000204255.1	Chlamydia psittaci 6BC	6BC	reference genome	1179220
genus	Chlamydia psittaci	GCF_000191925.1	Chlamydia psittaci 6BC	6BC		1179213
genus	Chlamydia psittaci	GCF_000298495.2	Chlamydia psittaci M56	M56		1168938
genus	Chlamydia psittaci	GCF_009857155.1	Chlamydia psittaci	AMK		1160049
genus	Chlamydia abortus	GCF_040235295.1	Chlamydia abortus	NL2354-2D	reference genome	1174186
genus	Chlamydia abortus	GCF_000026025.1	Chlamydia abortus S26/3	S26/3		1144377
genus	Chlamydia abortus	GCF_008329805.1	Chlamydia abortus	84/2334		1173245
genus	Chlamydia abortus	GCF_900002505.1	Chlamydia abortus	1H		1144467
genus	Chlamydia felis	GCF_000009945.1	Chlamydia felis Fe/C-56	Fe/C-56	reference genome	1173791
genus	Chlamydia caviae	GCF_000007605.1	Chlamydia caviae GPIC		reference genome	1181356
genus	Chlamydia pecorum	GCF_020549965.1	Chlamydia pecorum	MC/MarsBar_2018	reference genome	1113950
genus	Chlamydia pecorum	GCF_000204135.1	Chlamydia pecorum E58	E58		1106197
genus	Chlamydia pecorum	GCF_000470805.1	Chlamydia pecorum W73	W73		1106534
