accession	strain	tier	n_partners	nearest	nearest_ani	min_ani	median_ani	median_fraction	flag
GCF_000008725.1	D/UW-3/CX	primary	124	GCF_000093005.1	99.9978	99.0157	99.3826	0.994	
GCF_000012125.1	A/HAR-13	primary	124	GCF_047420705.1	99.8924	98.9561	99.2789	0.991	
GCF_000026905.1	B/TZ1A828/OT	primary	124	GCF_000284475.1	99.9385	98.9145	99.2738	0.993	
GCF_000026925.1	Jali20	primary	124	GCF_047421435.1	99.9013	98.9273	99.2706	0.993	
GCF_000068525.2	UCH-1	primary	124	GCF_000971705.1	100.0000	99.0865	99.1774	0.991	
GCF_000068585.1	L2/434/Bu	primary	124	GCF_000364765.1	99.9997	99.0924	99.1842	0.991	
GCF_000092485.1	D-EC	primary	124	GCF_000093005.1	99.9997	99.0173	99.3820	0.993	
GCF_000092665.1	E/150	primary	124	GCF_000304495.1	99.9844	99.0063	99.3373	0.994	
GCF_000092685.1	G/9768	primary	124	GCF_000092805.1	99.9997	98.9881	99.3606	0.994	
GCF_000092705.1	G/11222	primary	124	GCF_047418525.1	99.8761	99.0259	99.3740	0.994	
GCF_000092725.1	G/11074	primary	124	GCF_000092805.1	99.9929	98.9866	99.3634	0.994	
GCF_000092745.1	E/11023	primary	124	GCF_001183805.1	99.9775	99.0142	99.3238	0.994	
GCF_000092805.1	G/9301	primary	124	GCF_000092685.1	99.9997	98.9881	99.3606	0.994	
GCF_000093005.1	D-LC	primary	124	GCF_000092485.1	99.9997	99.0177	99.3820	0.993	
GCF_000173475.1	6276	primary	124	GCF_000173495.1	99.9941	98.9724	99.3666	0.994	
GCF_000173495.1	6276s	primary	124	GCF_000173475.1	99.9941	98.9723	99.3666	0.994	
GCF_000173515.1	70	primary	124	GCF_039778315.1	99.9995	99.0088	99.3433	0.993	
GCF_000173535.1	70s	primary	124	GCF_000173515.1	99.9965	99.0139	99.3414	0.991	
GCF_000174055.1	2923	primary	124	GCF_039778425.1	99.9931	99.0184	99.3625	0.994	
GCF_000175515.1	L2tet1	excluded	124	GCF_000068585.1	99.9978	99.0971	99.1843	0.975	
GCF_000210495.1	Sweden2	primary	124	GCF_001655415.1	99.9727	98.9996	99.3464	0.993	
GCF_000220105.1	L2c	primary	124	GCF_047416045.1	99.9933	99.1136	99.1872	0.991	
GCF_000226605.1	A2497	primary	124	GCF_000284475.1	99.9912	98.9601	99.2733	0.991	
GCF_000284475.1	A2497	primary	124	GCF_000318525.1	99.9922	98.9617	99.2743	0.993	
GCF_000304495.1	E/SW3	primary	124	GCF_001655415.1	99.9911	99.0014	99.3397	0.993	
GCF_000304515.1	F/SW4	primary	124	GCF_047419415.1	99.9802	99.0083	99.3684	0.993	
GCF_000304535.1	F/SW5	primary	124	GCF_047419415.1	99.9902	99.0139	99.3591	0.993	
GCF_000318525.1	A/363	primary	124	GCF_000318565.1	99.9980	98.9554	99.2769	0.991	
GCF_000318565.1	A/7249	primary	124	GCF_000318525.1	99.9980	98.9714	99.2738	0.991	
GCF_000318645.1	E/Bour	primary	124	GCF_047419425.1	99.9982	99.0108	99.3279	0.991	
GCF_000318765.1	Ia/SotonIa1	primary	124	GCF_000318785.1	99.9988	98.9717	99.3633	0.993	
GCF_000318785.1	Ia/SotonIa3	primary	124	GCF_000318765.1	99.9988	98.9697	99.3644	0.993	
GCF_000318825.1	L1/440/LN	primary	124	GCF_036285905.1	99.9994	99.0951	99.1814	0.992	
GCF_000318845.1	L1/115	primary	124	GCF_000318865.1	99.9963	99.0911	99.1761	0.991	
GCF_000318865.1	L1/224	primary	124	GCF_000318845.1	99.9963	99.0902	99.1767	0.991	
GCF_000318885.1	L2/25667R	primary	124	GCF_000068585.1	99.9992	99.0928	99.1857	0.991	
GCF_000318905.1	L2b/8200/07	primary	124	GCF_000971705.1	99.9999	99.0887	99.1815	0.991	
GCF_000318925.1	L2b/UCH-2	primary	124	GCF_000971705.1	99.9999	99.0885	99.1815	0.991	
GCF_000318985.1	L2b/795	primary	124	GCF_000971705.1	99.9993	99.0889	99.1823	0.991	
GCF_000319105.1	L3/404/LN	primary	124	GCF_047414635.1	99.9994	99.0862	99.1777	0.991	
GCF_000364765.1	L2/434/Bu(i)	primary	124	GCF_000068585.1	99.9997	99.0923	99.1839	0.990	
GCF_000364785.1	L2/434/Bu(f)	primary	124	GCF_000364765.1	99.9996	99.0920	99.1836	0.990	
GCF_000441585.1	RC-F/69	primary	124	GCF_000441635.1	99.7213	99.1737	99.5157	0.991	
GCF_000441615.1	RC-L2(s)/46	primary	124	GCF_000441815.1	99.9321	99.1209	99.2657	0.993	
GCF_000441635.1	RC-F(s)/852	quality-review	124	GCF_000441715.1	99.8879	99.2657	99.3710	0.975	
GCF_000441655.1	RC-J/943	primary	124	GCF_000441755.1	99.8670	99.1494	99.3078	0.994	
GCF_000441675.1	RC-J/953	primary	124	GCF_000441795.1	99.8092	99.2131	99.5160	0.994	
GCF_000441695.1	RC-L2(s)/3	primary	124	GCF_000441615.1	99.8933	99.1243	99.2704	0.991	
GCF_000441715.1	RC-F(s)/342	quality-review	124	GCF_000173535.1	99.9770	99.1838	99.3504	0.975	
GCF_000441735.1	RC-J(s)/122	quality-review	124	GCF_000441755.1	99.5861	99.0928	99.3249	0.973	
GCF_000441755.1	RC-J/966	primary	124	GCF_000441655.1	99.8670	99.1675	99.3365	0.994	
GCF_000441775.1	J/6276tet1	excluded	124	GCF_000173475.1	99.9860	99.1496	99.3693	0.978	
GCF_000441795.1	RC-J/971	primary	124	GCF_000441675.1	99.8092	99.2096	99.3865	0.994	
GCF_000441815.1	RC-L2/55	primary	124	GCF_000318885.1	99.9559	99.1198	99.2232	0.994	
GCF_000507225.1	C/TW-3	primary	124	GCF_047420695.1	99.9978	98.9426	99.2711	0.991	
GCF_000590575.1	F/1-93	primary	124	GCF_000304535.1	99.9827	99.0503	99.3545	0.994	
GCF_000590615.1	F/6-94	primary	124	GCF_001655575.1	99.9610	99.0134	99.3811	0.994	
GCF_000590635.1	F/11-96	primary	124	GCF_000304535.1	99.9861	99.0228	99.3650	0.994	
GCF_000590675.1	D/13-96	primary	124	GCF_000174055.1	99.9926	99.0172	99.3613	0.994	
GCF_000590755.1	J/31-98	primary	124	GCF_000173475.1	99.9855	98.9709	99.3692	0.994	
GCF_000971705.1	L2b/CS19/08	primary	124	GCF_000068525.2	100.0000	99.0865	99.1774	0.990	
GCF_000971725.1	L2b/CS784/08	primary	124	GCF_000971705.1	99.9999	99.0864	99.1773	0.990	
GCF_001183765.1	D/CS637/11	quality-review	124	GCF_039778345.1	99.9599	98.9736	99.3840	0.993	
GCF_001183805.1	E/CS1025/11	quality-review	124	GCF_047419425.1	99.9920	99.0106	99.3308	0.992	
GCF_001183825.1	F/CS847/08	quality-review	124	GCF_047419415.1	99.9639	99.0104	99.3520	0.991	
GCF_001183845.1	Ia/CS190/96	quality-review	124	GCF_047416065.1	99.9686	98.9771	99.3856	0.993	
GCF_001655335.1	E-103	primary	124	GCF_001655415.1	99.9735	99.0068	99.3572	0.993	
GCF_001655375.1	E-160	primary	124	GCF_001655415.1	99.9933	99.0084	99.3403	0.993	
GCF_001655415.1	E-547	primary	124	GCF_001655375.1	99.9933	99.0088	99.3396	0.993	
GCF_001655455.1	E-8873	primary	124	GCF_000304535.1	99.9533	99.0202	99.3395	0.993	
GCF_001655495.1	E-32931	primary	124	GCF_000304495.1	99.9737	99.0106	99.3382	0.991	
GCF_001655535.1	E-DK-20	primary	124	GCF_000304495.1	99.9069	99.0014	99.3120	0.990	
GCF_001655575.1	F-6068	primary	124	GCF_047419415.1	99.9834	99.0198	99.3618	0.993	
GCF_001885175.1	QH111L	quality-review	124	GCF_047421445.1	99.7887	99.0999	99.2852	0.981	
GCF_002088315.1	chxRP4F1	excluded	124	GCF_000093005.1	99.9940	98.9758	99.3821	0.994	
GCF_002088335.1	chxRP4D10	excluded	124	GCF_000093005.1	99.9936	99.0109	99.3806	0.994	
GCF_002088355.1	chxRP1H1	excluded	124	GCF_000093005.1	99.9925	99.0147	99.3804	0.994	
GCF_002776745.1	SQ32	primary	124	GCF_002776795.1	99.9990	99.0351	99.3165	0.993	
GCF_002776795.1	SQ29	primary	124	GCF_002776745.1	99.9990	99.0362	99.3174	0.993	
GCF_002776845.1	SQ20	primary	124	GCF_002776885.1	99.9993	99.0098	99.3613	0.993	
GCF_002776885.1	SQ24	primary	124	GCF_002776845.1	99.9993	99.0096	99.3610	0.993	
GCF_002776955.1	SQ09	primary	124	GCF_002777015.1	99.9926	99.0080	99.3627	0.994	
GCF_002776975.1	SQ10	primary	124	GCF_002777015.1	99.9950	99.0083	99.3607	0.994	
GCF_002776995.1	SQ12	primary	124	GCF_002776975.1	99.9879	98.9903	99.3549	0.994	
GCF_002777015.1	SQ14	primary	124	GCF_002776975.1	99.9950	99.0082	99.3600	0.994	
GCF_002777035.1	SQ01	primary	124	GCF_002777075.1	99.9996	99.0109	99.3505	0.993	
GCF_002777055.1	SQ02	primary	124	GCF_002777035.1	99.9963	98.9753	99.3470	0.991	
GCF_002777075.1	SQ05	primary	124	GCF_002777035.1	99.9996	98.9775	99.3504	0.991	
GCF_002777095.1	SQ25	primary	124	GCF_047417375.1	99.9971	99.0083	99.3458	0.994	
GCF_002777135.1	SQ15	primary	124	GCF_002777155.1	99.9991	99.0050	99.3518	0.991	
GCF_002777155.1	SQ19	primary	124	GCF_002777135.1	99.9991	98.9929	99.3508	0.991	
GCF_004135145.1	tet9	excluded	124	GCF_000175515.1	99.9520	98.8965	99.0116	0.973	
GCF_018336255.1	L2/Hefty/ct350::Tn	excluded	124	GCF_000175515.1	99.9974	99.0825	99.1744	0.991	
GCF_018336275.1	L2/Hefty/ct732::Tn	excluded	124	GCF_000068585.1	99.9941	99.0818	99.1843	0.990	
