accession	strain	tier	contig	start	end	strand	length	identity_to_ref	coverage	own_label	nn_label	nn_identity	nn_accession	agrees
GCF_000008725.1	D/UW-3/CX	primary	NC_000117.1	778879	780060	-	1182	100.00	1.00	D	D	100.00	GCF_000092485.1	yes
GCF_000012125.1	A/HAR-13	primary	NC_007429.1	781617	782807	-	1191	83.82	1.00	A	A	99.58	GCF_047421435.1	yes
GCF_000026905.1	B/TZ1A828/OT	primary	NC_012687.1	781434	782618	-	1185	94.68	1.00	B	B	99.66	GCF_000026925.1	yes
GCF_000026925.1	Jali20	primary	NC_012686.1	781508	782692	-	1185	94.77	1.00	B	B	99.66	GCF_000026905.1	yes
GCF_000068525.2	UCH-1	primary	NC_010280.2	58642	59826	-	1185	92.41	1.00		L2b	100.00	GCF_000318905.1	
GCF_000068585.1	L2/434/Bu	primary	NC_010287.1	58637	59821	-	1185	92.49	1.00	L2	J/L2/L2c	100.00	GCF_000220105.1	yes
GCF_000092485.1	D-EC	primary	NC_017434.1	778883	780064	-	1182	100.00	1.00	D	D	100.00	GCF_000008725.1	yes
GCF_000092665.1	E/150	primary	NC_017439.1	779330	780511	-	1182	93.40	1.00	E	E	100.00	GCF_000092745.1	yes
GCF_000092685.1	G/9768	primary	NC_017429.1	779167	780354	-	1188	85.24	1.00	G	G	100.00	GCF_000092725.1	yes
GCF_000092705.1	G/11222	primary	NC_017430.1	778717	779904	-	1188	85.24	1.00	G	G	99.92	GCF_047418505.1	yes
GCF_000092725.1	G/11074	primary	NC_017440.1	779232	780419	-	1188	85.24	1.00	G	G	100.00	GCF_000092685.1	yes
GCF_000092745.1	E/11023	primary	NC_017431.1	779349	780530	-	1182	93.40	1.00	E	E	100.00	GCF_000092665.1	yes
GCF_000092805.1	G/9301	primary	NC_017432.1	779168	780355	-	1188	85.24	1.00	G	G	100.00	GCF_000092685.1	yes
GCF_000093005.1	D-LC	primary	NC_017436.1	778881	780062	-	1182	100.00	1.00	D	D	100.00	GCF_000008725.1	yes
GCF_000173475.1	6276	primary	NZ_ABYD01000001.1	779537	780730	-	1194	83.70	1.00	J	J	100.00	GCF_000173495.1	yes
