gene	gene_name	annotation	avg_copies	gene_length	excl_window	excl_gap_len	n_species_genus	n_species_clinical	n_genomes_aligned	ref_match	region_start	region_end	region_length
lpxL	lpxL	Lipid A biosynthesis lauroyltransferase	1.00	1368	1-1368	1368	8	0	97	exact	164	1098	935
lplA	lplA	Lipoate-protein ligase A	1.00	702	1-702	702	9	0	97	exact	1	702	702
aroB	aroB	3-dehydroquinate synthase	1.00	1122	1-1122	1122	9	0	97	exact	257	953	697
recD2	recD2	ATP-dependent RecD-like DNA helicase	1.00	2241	1-2241	2241	10	0	97	exact	326	986	661
lon	lon	Lon protease	1.00	2460	1-2460	2460	10	5	97	exact	166	794	629
tilS	tilS	tRNA(Ile)-lysidine synthase	1.00	966	1-966	966	10	0	97	exact	115	715	601
pyrG	pyrG	CTP synthase	1.00	1620	1-1620	1620	10	14	97	exact	319	912	594
PSD2	PSD2	Phosphatidylserine decarboxylase proenzyme 2	1.00	906	1-906	906	7	0	97	exact	300	889	590
lpxB	lpxB	Lipid-A-disaccharide synthase	1.00	1824	1-1824	1824	10	0	97	exact	1252	1824	573
mutL	mutL	DNA mismatch repair protein MutL	1.00	1731	1-1731	1731	10	0	97	exact	1	560	560
pmpA	pmpA	putative outer membrane protein PmpA	1.00	2928	1-2928	2928	4	0	97	exact	1083	1628	546
group_63		hypothetical protein	1.00	1701	1-1701	1701	10	0	97	exact	924	1468	545
group_65		hypothetical protein	1.00	1620	1-1620	1620	6	0	97	exact	349	878	530
pdhD	pdhD	Dihydrolipoyl dehydrogenase	1.00	1398	1-1398	1398	10	0	97	exact	334	855	522
group_23		hypothetical protein	1.00	2925	1-2925	2925	10	0	97	exact	295	812	518
group_187		hypothetical protein	1.00	570	1-570	570	2	0	97	exact	1	517	517
gatA	gatA	Glutamyl-tRNA(Gln) amidotransferase subunit A	1.00	1476	1-1476	1476	10	10	97	exact	520	1028	509
ptsI	ptsI	Phosphoenolpyruvate-protein phosphotransferase	1.00	1716	1-1716	1716	10	0	97	exact	916	1424	509
bamA	bamA	Outer membrane protein assembly factor BamA	1.00	2379	1-2379	2379	10	0	97	exact	387	893	507
murC	murC	UDP-N-acetylmuramate--L-alanine ligase	1.00	2409	1-2409	2409	10	0	97	exact	478	971	494
group_114		hypothetical protein	1.00	1023	1-1023	1023	10	0	97	exact	375	858	484
group_99		hypothetical protein	1.00	1200	1-1200	1200	2	0	97	exact	314	796	483
glgB	glgB	14-alpha-glucan branching enzyme GlgB	1.00	2217	1-2217	2217	10	3	97	exact	1385	1862	478
uvrC	uvrC	UvrABC system protein C	1.00	1797	1-1797	1797	10	0	97	exact	1256	1733	478
gltT	gltT	Proton/sodium-glutamate symport protein	1.00	1239	1-1239	1239	10	0	97	exact	412	887	476
dsbD	dsbD	Thiol:disulfide interchange protein DsbD	1.00	2079	1-2079	2079	10	0	97	exact	1276	1747	472
def	def	Peptide deformylase	1.00	546	1-546	546	7	0	97	exact	42	512	471
ssaN	ssaN	putative secretion system apparatus ATP synthase SsaN	1.00	1305	1-1305	1305	10	0	97	exact	744	1209	466
zwf	zwf	Glucose-6-phosphate 1-dehydrogenase	1.00	1524	1-1524	1524	10	5	97	exact	364	829	466
group_71		hypothetical protein	1.00	1479	1-1479	1479	10	0	97	exact	155	614	460
murB	murB	UDP-N-acetylenolpyruvoylglucosamine reductase	1.00	876	1-876	876	10	4	97	exact	417	876	460
group_89		hypothetical protein	1.00	1278	1-1278	1278	10	0	97	exact	105	563	459
group_76		Cardiolipin synthase	1.00	1425	1-1425	1425	10	0	97	exact	385	842	458
amn	amn	AMP nucleosidase	1.00	870	1-870	870	10	0	97	exact	310	759	450
atoC	atoC	Regulatory protein AtoC	1.00	1161	1-1161	1161	10	1	97	exact	356	805	450
nqrC	nqrC	Na(+)-translocating NADH-quinone reductase subunit C	1.00	951	1-951	951	10	0	97	exact	502	951	450
group_96		hypothetical protein	1.00	1218	1-1218	1218	8	0	97	exact	557	1001	445
znuC	znuC	High-affinity zinc uptake system ATP-binding protein ZnuC	1.00	711	1-711	711	10	0	97	exact	161	601	441
aroF	aroF	Phospho-2-dehydro-3-deoxyheptonate aldolase	1.00	837	1-837	837	10	1	97	exact	364	801	438
thrZ	thrZ	Threonine--tRNA ligase 2	1.00	1908	1-1908	1908	10	3	97	exact	625	1061	437
cpdA	cpdA	3'5'-cyclic adenosine monophosphate phosphodiesterase CpdA	1.00	873	1-873	873	8	0	97	exact	134	563	430
group_59		Protein CT_858	1.00	1806	1-1806	1806	10	0	97	exact	1378	1806	429
dnaE	dnaE	DNA polymerase III subunit alpha	1.00	3714	1-3714	3714	10	6	97	exact	1832	2258	427
ribD	ribD	Riboflavin biosynthesis protein RibD	1.00	1128	1-1128	1128	10	0	97	exact	667	1093	427
group_6		hypothetical protein	1.00	3417	1-3417	3417	10	0	97	exact	1689	2114	426
hemN	hemN	Oxygen-independent coproporphyrinogen III oxidase	1.00	1374	1-1374	1374	10	0	97	exact	349	773	425
dxs_1	dxs_1	1-deoxy-D-xylulose-5-phosphate synthase	1.00	1923	1-1923	1923	10	0	97	exact	1464	1885	422
dxs_2	dxs_2	1-deoxy-D-xylulose-5-phosphate synthase	1.00	2037	1-2037	2037	10	2	97	exact	79	499	421
group_61		4-hydroxybenzoate decarboxylase subunit C	1.00	1740	1-1740	1740	10	0	97	exact	586	1005	420
uppS	uppS	Isoprenyl transferase	1.00	762	1-762	762	10	6	97	exact	325	744	420
waaA	waaA	3-deoxy-D-manno-octulosonic acid transferase	1.00	1296	1-1296	1296	10	0	97	exact	160	575	416
group_327		hypothetical protein	1.00	2163	1-2163	2163	10	0	97	exact	1292	1701	410
murF	murF	UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase	1.00	1353	1-1353	1353	10	0	97	exact	717	1123	407
pmpG	pmpG	putative outer membrane protein PmpG	1.00	3042	1282-3042	1761	7	0	97	exact	1952	2354	403
recJ	recJ	Single-stranded-DNA-specific exonuclease RecJ	1.00	1755	1-1755	1755	8	0	97	exact	554	956	403
mqnE	mqnE	Aminodeoxyfutalosine synthase	1.00	1110	1-1110	1110	10	0	97	exact	538	939	402
mqnC	mqnC	Cyclic dehypoxanthine futalosine synthase	1.00	1053	1-1053	1053	10	0	97	exact	619	1019	401
group_160		hypothetical protein	1.00	732	1-732	732	9	0	97	exact	51	450	400
group_120		hypothetical protein	1.00	993	1-993	993	5	0	97	exact	92	487	396
group_293		hypothetical protein	1.00	1389	1-1389	1389	9	0	97	exact	300	694	395
group_47		hypothetical protein	1.00	2304	1-2304	2304	10	0	97	exact	254	648	395
radA	radA	DNA repair protein RadA	1.00	1365	1-1365	1365	10	10	97	exact	133	527	395
gspF	gspF	Putative type II secretion system protein F	1.00	1176	1-1176	1176	9	0	97	exact	791	1176	386
group_49		hypothetical protein	1.00	2076	1-2076	2076	10	0	97	exact	181	560	380
group_9		hypothetical protein	1.00	3144	1-3144	3144	10	0	97	exact	1919	2298	380
trmD	trmD	tRNA (guanine-N(1)-)-methyltransferase	1.00	1059	1-1059	1059	10	2	97	exact	67	446	380
acoA	acoA	Acetoin:26-dichlorophenolindophenol oxidoreductase subunit alpha	1.00	1023	1-1023	1023	10	0	97	exact	83	461	379
group_48		hypothetical protein	1.00	2091	1-2091	2091	10	0	97	exact	212	589	378
ftsK	ftsK	DNA translocase FtsK	1.00	2439	1-2439	2439	10	3	97	exact	1407	1782	376
malP	malP	Maltodextrin phosphorylase	1.00	2445	1-2445	2445	10	5	97	exact	683	1058	376
lysS	lysS	Lysine--tRNA ligase	1.00	1581	1-1581	1581	10	7	97	exact	1144	1517	374
uvrB	uvrB	UvrABC system protein B	1.00	2007	1-2007	2007	10	23	97	exact	295	668	374
mntB_1	mntB_1	Manganese transport system ATP-binding protein MntB	1.00	819	1-819	819	10	0	97	exact	447	819	373
group_68		hypothetical protein	1.00	1491	1-1491	1491	10	9	97	exact	1121	1491	371
aspS	aspS	Aspartate--tRNA(Asp/Asn) ligase	1.00	1845	1-1360	1360	10	22	97	exact	245	614	370
group_56		hypothetical protein	1.00	1866	1-1866	1866	10	0	97	exact	238	607	370
oppB	oppB	Oligopeptide transport system permease protein OppB	1.00	942	1-942	942	10	0	97	exact	134	503	370
group_128		hypothetical protein	1.00	948	1-948	948	10	0	97	exact	315	683	369
group_74		hypothetical protein	1.00	1464	1-1464	1464	10	0	97	exact	493	861	369
dauA	dauA	C4-dicarboxylic acid transporter DauA	1.00	1701	1-1701	1701	10	0	97	exact	496	863	368
mdh	mdh	Malate dehydrogenase	1.00	981	1-981	981	10	0	97	exact	329	695	367
group_142		hypothetical protein	1.00	837	1-837	837	10	0	97	exact	160	525	366
lnt	lnt	Apolipoprotein N-acyltransferase	1.00	1629	1-1629	1629	10	0	97	exact	12	377	366
mraY	mraY	Phospho-N-acetylmuramoyl-pentapeptide-transferase	1.00	1011	1-1011	1011	9	0	97	exact	10	375	366
atoS	atoS	Signal transduction histidine-protein kinase AtoS	1.00	1059	1-1059	1059	10	0	97	exact	517	881	365
group_21		hypothetical protein	1.00	3012	1-3012	3012	10	13	97	exact	676	1038	363
lysC	lysC	Lysine-sensitive aspartokinase 3	1.00	1296	1-1296	1296	10	0	97	exact	701	1062	362
