gene	gene_name	annotation	n_primary_genomes	avg_copies	length	genus_any_maxgap	genus_any_n150	clinical_any_maxgap	clinical_any_n150	all_any_maxgap	all_any_n150	all_any_coords	genus_id85_maxgap	genus_id85_n150	clinical_id85_maxgap	clinical_id85_n150	all_id85_maxgap	all_id85_n150	all_id85_coords	n_species_genus	n_species_clinical
tarP	tarP;	Translocated actin-recruiting phosphoprotein;hypothetical protein	97	1.05	3486	1405	2	3486	1	1405	2	327-1731	3486	1	3486	1	3486	1	1-3486	5	0
pmpC~~~pmpC_1~~~pmpC_2	pmpC;pmpC_1;pmpC_2	putative outer membrane protein PmpC	97	1.01	5355	1228	3	5355	1	1228	3	66-1293	5308	1	5355	1	5308	1	48-5355	9	0
clsA_4~~~clsA_3	;clsA_4;clsA_3	hypothetical protein;Cardiolipin synthase A;Cardiolipin synthase	97	1.15	1215	1215	1	1215	1	1215	1	1-1215	1215	1	1215	1	1215	1	1-1215	0	0
clsA_2	;clsA_2	hypothetical protein;Cardiolipin synthase A	97	1.38	1467	1029	2	1467	1	1029	2	1-1029	1467	1	1467	1	1467	1	1-1467	1	0
group_370		hypothetical protein	97	1.20	1971	775	1	1971	1	775	1	1-775	1971	1	1971	1	1971	1	1-1971	2	0
clsA_5~~~clsA_3~~~clsA_4	clsA_5;clsA_3;;clsA_4	Cardiolipin synthase A;hypothetical protein	97	1.02	1347	735	1	1347	1	735	1	175-909	1347	1	1347	1	1347	1	1-1347	1	0
clsA_3	;clsA_3	hypothetical protein;Cardiolipin synthase A	97	1.09	942	643	2	942	1	643	2	1-643	942	1	942	1	942	1	1-942	1	0
incG	incG	Inclusion membrane protein G	97	1.00	504	504	1	504	1	504	1	1-504	504	1	504	1	504	1	1-504	0	0
group_32		hypothetical protein	97	1.01	813	503	1	813	1	503	1	311-813	813	1	813	1	813	1	1-813	2	0
group_34		hypothetical protein	97	1.00	873	454	1	873	1	454	1	231-684	873	1	873	1	873	1	1-873	1	0
group_27		hypothetical protein	97	1.00	795	447	1	795	1	447	1	349-795	795	1	795	1	795	1	1-795	1	0
