accession	paired_genbank	assembly_name	organism_name	strain	isolate	serovar	biosample	bioproject	bioproject_all	bioproject_titles	submitter	release_date	sequencing_tech	assembly_method	assembly_level	assembly_status	source_database	total_length	gc_percent	n_contigs	n_chromosomes	collection_date	geo_loc_name	host	isolation_source	host_disease	ani_status	ani_match	checkm_completeness	checkm_contamination	biosample_text	tier	auto_verdict	weak_notes
GCF_000008725.1	GCA_000008725.1	ASM872v1	Chlamydia trachomatis D/UW-3/CX	D/UW-3/CX			SAMN02603114	PRJNA45	PRJNA45;PRJNA15722	Serovar D strain that causes pharyngitis, bronchitis and pneumonitis | Comparison of serovar A and D variants of Chlamydia trachomatis	ChGP	2001-01-09			Complete Genome	current	SOURCE_DATABASE_REFSEQ	1042519	41.5	1	1						OK	species_match	98.98	2.22	strain=D/UW-3/CX; title=Sample from Chlamydia trachomatis D/UW-3/CX	primary	INCLUDE	sparse_metadata (no collection date, location or host) || duplicate_strain_name
GCF_000012125.1	GCA_000012125.1	ASM1212v1	Chlamydia trachomatis A/HAR-13	A/HAR-13			SAMN02603498	PRJNA13885	PRJNA13885;PRJNA15722	Serovar A strain that causes pharyngitis, bronchitis and pneumonitis | Comparison of serovar A and D variants of Chlamydia trachomatis	Lab of Human Bacterial Pathogenesis	2005-09-23			Complete Genome	current	SOURCE_DATABASE_REFSEQ	1051969	41.5	2	2						OK	below_threshold_mismatch	96.17	2.22	strain=A/HAR-13; title=Sample from Chlamydia trachomatis A/HAR-13	primary	REVIEW	sparse_metadata (no collection date, location or host)
GCF_000026905.1	GCA_000026905.1	ASM2690v1	Chlamydia trachomatis B/TZ1A828/OT	B/TZ1A828/OT		B	SAMEA2272143	PRJEA32653	PRJEA32653	Clinical isolate	Wellcome Trust Sanger Institute	2009-05-11			Complete Genome	current	SOURCE_DATABASE_REFSEQ	1044282	41.5	1	1						OK	species_match	98.93	2.22	ENA-CHECKLIST=ERC000011; ENA-FIRST-PUBLIC=2013-12-19; ENA-LAST-UPDATE=2013-12-09; External Id=SAMEA2272143; INSDC center alias=EBI; INSDC center name=European Bioinformatics Institute; INSDC first public=2013-12-19T12:09:22Z; INSDC last update=2013-12-09T15:23:53Z; INSDC status=public; serovar=B; strain=B/TZ1A828/OT; Submitter Id=GCA_000026905; broker name=European Nucleotide Archive; individual_name=GCA_000026905; sample_name=GCA_000026905; title=BioSample entry for genome collection GCA_000026905; comments=The annotation was added by the NCBI Prokaryotic Genome Annotation Pipeline (PGAP). Information about PGAP can be found here: https://www.ncbi.nlm.nih.gov/genome/annotation_prok/	primary	INCLUDE	sparse_metadata (no collection date, location or host)
GCF_000026925.1	GCA_000026925.1	ASM2692v1	Chlamydia trachomatis B/Jali20/OT	Jali20		B	SAMEA2272641	PRJEA32655	PRJEA32655	Clinical isolate	Wellcome Trust Sanger Institute	2009-05-11			Complete Genome	current	SOURCE_DATABASE_REFSEQ	1044352	41.5	1	1						OK	species_match	98.93	2.22	ENA-CHECKLIST=ERC000011; ENA-FIRST-PUBLIC=2013-12-19; ENA-LAST-UPDATE=2013-12-09; External Id=SAMEA2272641; INSDC center alias=EBI; INSDC center name=European Bioinformatics Institute; INSDC first public=2013-12-19T12:09:22Z; INSDC last update=2013-12-09T15:24:08Z; INSDC status=public; serovar=B; strain=Jali20; Submitter Id=GCA_000026925; broker name=European Nucleotide Archive; individual_name=GCA_000026925; sample_name=GCA_000026925; title=BioSample entry for genome collection GCA_000026925; comments=The annotation was added by the NCBI Prokaryotic Genome Annotation Pipeline (PGAP). Information about PGAP can be found here: https://www.ncbi.nlm.nih.gov/genome/annotation_prok/	primary	INCLUDE	sparse_metadata (no collection date, location or host)
GCF_000068525.2	GCA_000068525.2	ASM6852v2	Chlamydia trachomatis L2b/UCH-1/proctitis	UCH-1			SAMEA1705954	PRJNA28585	PRJNA28585	Isolated from a case of proctitis	Welcome Trust Sanger Institute	2011-09-14			Complete Genome	current	SOURCE_DATABASE_REFSEQ	1038863	41.5	1	1	2006					OK	species_match	98.93	1.73	Check list type=prokaryote; ENA-FIRST-PUBLIC=2010-02-26T10:44:07Z; ENA-LAST-UPDATE=2018-03-09T09:51:49Z; External Id=SAMEA1705954; GCAT ID=003694_GCAT; Health status of host=alive; INSDC center name=EBI; INSDC first public=2010-02-26T10:44:07Z; INSDC last update=2018-03-09T09:51:49Z; INSDC status=public; Relevant e-resources=http://www.sanger.ac.uk/Projects/C_trachomatis_L2/; Submitter Id=003694_GCAT-20090507; collection_date=2006; biotic_relationship=pathogen; broker name=ENA; habitat=animal-associated habitat; host_taxid=9606; latitude=51.5; longitude=0; pathogenicity=human; rel_to_oxygen=obligate aerobic; sample_name=003694_GCAT-20090507; scientific_name=Chlamydia trachomatis L2b/UCH-1/proctitis; trophic_level=heterotroph; title=Sample from Chlamydia trachomatis L2b/UCH-1/proctitis; com	primary	INCLUDE	
GCF_000068585.1	GCA_000068585.1	ASM6858v1	Chlamydia trachomatis L2/434/Bu	L2/434/Bu			SAMEA1705923	PRJNA28583	PRJNA28583	L2 serovar that caused lymphogranuloma vernerum	Wellcome Trust Sanger Institute	2008-01-17			Complete Genome	current	SOURCE_DATABASE_REFSEQ	1038842	41.5	1	1						OK	species_match	98.93	1.73	Check list type=prokaryote; ENA-FIRST-PUBLIC=2010-02-26T10:44:06Z; ENA-LAST-UPDATE=2018-03-09T09:51:49Z; External Id=SAMEA1705923; GCAT ID=000938_GCAT; Health status of host=alive; INSDC center name=EBI; INSDC first public=2010-02-26T10:44:06Z; INSDC last update=2018-03-09T09:51:49Z; INSDC status=public; Relevant e-resources=http://www.sanger.ac.uk/Projects/C_trachomatis_L2/; Submitter Id=000938_GCAT-20090507; biotic_relationship=pathogen; broker name=ENA; habitat=animal-associated habitat; host_taxid=9606; latitude=36; longitude=-120; pathogenicity=human; rel_to_oxygen=obligate aerobic; sample_name=000938_GCAT-20090507; scientific_name=Chlamydia trachomatis 434/Bu; source_material_id=ATCC VR902B; trophic_level=heterotroph; title=Sample from Chlamydia trachomatis L2/434/Bu; comments=The an	primary	INCLUDE	sparse_metadata (no collection date, location or host)
GCF_000092485.1	GCA_000092485.1	ASM9248v1	Chlamydia trachomatis D-EC	D-EC			SAMN00744935	PRJNA48087	PRJNA48087	Chlamydia trachomatis D-EC genome sequencing	Integrated Genomics, Inc.	2010-06-09			Complete Genome	current	SOURCE_DATABASE_REFSEQ	1050015	41.5	2	2						OK	species_match	99.02	2.22	strain=D-EC; title=Chlamydia trachomatis D-EC; comments=Sequencing Center: Integrated Genomics, Inc., 2355 S. Arlington Heights Road, Suite 270, Arlington Heights, IL 60005, USA  Source DNA and bacteria available from Harlan D. Caldwell at hcaldwell@niaid.nih.gov<mailto:hcaldwell@niaid.nih.gov>. The annotation was added by the NCBI Prokaryotic Genome Annotation Pipeline (PGAP). Information about PGAP can be found here: https://www.ncbi.nlm.nih.gov/genome/annotation_prok/	primary	INCLUDE	sparse_metadata (no collection date, location or host)
GCF_000092665.1	GCA_000092665.1	ASM9266v1	Chlamydia trachomatis E/150	E/150			SAMN02603692	PRJNA43143	PRJNA43143	Chlamydia trachomatis E/150	Oregon State University	2010-05-21			Complete Genome	current	SOURCE_DATABASE_REFSEQ	1042996	41.5	1	1						OK	species_match	98.67	2.22	strain=E/150; title=Sample from Chlamydia trachomatis E/150; comments=Bacteria from the University of Washington Chlamydia Repository. The annotation was added by the NCBI Prokaryotic Genome Annotation Pipeline (PGAP). Information about PGAP can be found here: https://www.ncbi.nlm.nih.gov/genome/annotation_prok/	primary	INCLUDE	sparse_metadata (no collection date, location or host)
GCF_000092685.1	GCA_000092685.1	ASM9268v1	Chlamydia trachomatis G/9768	G/9768			SAMN02603693	PRJNA43145	PRJNA43145	Chlamydia trachomatis G/9768 genome sequencing	Oregon State University	2010-05-21			Complete Genome	current	SOURCE_DATABASE_REFSEQ	1042810	41.5	1	1						OK	species_match	98.93	2.22	strain=G/9768; title=Sample from Chlamydia trachomatis G/9768; comments=Bacteria from the University of Washington Chlamydia Repository. The annotation was added by the NCBI Prokaryotic Genome Annotation Pipeline (PGAP). Information about PGAP can be found here: https://www.ncbi.nlm.nih.gov/genome/annotation_prok/	primary	INCLUDE	sparse_metadata (no collection date, location or host)
GCF_000092705.1	GCA_000092705.1	ASM9270v1	Chlamydia trachomatis G/11222	G/11222			SAMN02603694	PRJNA43147	PRJNA43147	Chlamydia trachomatis G/11222 genome sequencing	Oregon State University	2010-05-21			Complete Genome	current	SOURCE_DATABASE_REFSEQ	1042354	41.5	1	1						OK	species_match	98.93	2.22	strain=G/11222; title=Sample from Chlamydia trachomatis G/11222; comments=Bacteria from the University of Washington Chlamydia Repository. The annotation was added by the NCBI Prokaryotic Genome Annotation Pipeline (PGAP). Information about PGAP can be found here: https://www.ncbi.nlm.nih.gov/genome/annotation_prok/	primary	INCLUDE	sparse_metadata (no collection date, location or host)
