gene	gene_name	annotation	n_genomes	n_total	pct	classification	seq_length
COQ3	COQ3	Ubiquinone biosynthesis O-methyltransferase mitochondrial	97	97	100.0	core	804
GATC	GATC	Glutamyl-tRNA(Gln) amidotransferase subunit C chloroplastic/mitochondrial	97	97	100.0	core	303
PSD2	PSD2	Phosphatidylserine decarboxylase proenzyme 2	97	97	100.0	core	906
aas	aas	Bifunctional protein Aas	97	97	100.0	core	1614
aaxA	aaxA	Porin AaxA	97	97	100.0	core	1386
aaxB	aaxB	Pyruvoyl-dependent arginine decarboxylase AaxB	97	97	100.0	core	588
aaxC_1~~~aaxC_2~~~aaxC_3~~~aaxC	;aaxC_1;aaxC_2;aaxC_3;aaxC	hypothetical protein;Arginine/agmatine antiporter	97	97	100.0	core	1452
accA	accA	Acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha	97	97	100.0	core	975
accC	accC	Biotin carboxylase	97	97	100.0	core	1374
accD	accD	Acetyl-coenzyme A carboxylase carboxyl transferase subunit beta	97	97	100.0	core	927
acoA	acoA	Acetoin:26-dichlorophenolindophenol oxidoreductase subunit alpha	97	97	100.0	core	1023
acpP	acpP	Acyl carrier protein	97	97	100.0	core	234
acpS	acpS	Holo-[acyl-carrier-protein] synthase	97	97	100.0	core	360
adk	adk	Adenylate kinase	97	97	100.0	core	738
ahpC	ahpC	Alkyl hydroperoxide reductase C	97	97	100.0	core	588
alaS	alaS	Alanine--tRNA ligase	97	97	100.0	core	3009
alsT_1	;alsT_1	hypothetical protein;Amino-acid carrier protein AlsT	97	97	100.0	core	1362
alsT_2	alsT_2	Amino-acid carrier protein AlsT	97	97	100.0	core	1368
amn	amn	AMP nucleosidase	97	97	100.0	core	870
apbE	apbE	FAD:protein FMN transferase	97	97	100.0	core	951
appB	appB	Cytochrome bd-II ubiquinol oxidase subunit 2	97	97	100.0	core	1062
argS	argS	Arginine--tRNA ligase	97	97	100.0	core	1692
aroA	aroA	3-phosphoshikimate 1-carboxyvinyltransferase	97	97	100.0	core	1323
aroB	aroB	3-dehydroquinate synthase	97	97	100.0	core	1122
aroC	aroC	Chorismate synthase	97	97	100.0	core	1074
aroE	aroE	Shikimate dehydrogenase (NADP(+))	97	97	100.0	core	1443
aroF	aroF	Phospho-2-dehydro-3-deoxyheptonate aldolase	97	97	100.0	core	837
aroK	aroK	Shikimate kinase	97	97	100.0	core	555
artJ	artJ	putative ABC transporter arginine-binding protein ArtJ	97	97	100.0	core	774
artM	artM	Arginine transport ATP-binding protein ArtM	97	97	100.0	core	702
asd2	asd2	Aspartate-semialdehyde dehydrogenase 2	97	97	100.0	core	1005
aspS	aspS	Aspartate--tRNA(Asp/Asn) ligase	97	97	100.0	core	1845
atoC	atoC	Regulatory protein AtoC	97	97	100.0	core	1161
atoS	atoS	Signal transduction histidine-protein kinase AtoS	97	97	100.0	core	1059
atpD	atpD	V-type ATP synthase subunit D	97	97	100.0	core	615
atpE	atpE	V-type proton ATPase subunit E	97	97	100.0	core	627
aviRb	aviRb	23S rRNA (uridine(2479)-2'-O)-methyltransferase	97	97	100.0	core	810
bamA	bamA	Outer membrane protein assembly factor BamA	97	97	100.0	core	2379
bdbC	bdbC	disulfide formation protein	97	97	100.0	core	408
bepA	bepA	Beta-barrel assembly-enhancing protease	97	97	100.0	core	1008
bfmBAB	bfmBAB	2-oxoisovalerate dehydrogenase subunit beta	97	97	100.0	core	987
bioY2	bioY2	Biotin transporter BioY2	97	97	100.0	core	591
birA	birA	Bifunctional ligase/repressor BirA	97	97	100.0	core	555
brnQ	brnQ	Branched-chain amino acid transport system 2 carrier protein	97	97	100.0	core	1236
btuD	btuD	Vitamin B12 import ATP-binding protein BtuD	97	97	100.0	core	1941
cadA	cadA	putative cadmium-transporting ATPase	97	97	100.0	core	1980
cca	cca	CCA-adding enzyme	97	97	100.0	core	1233
cdaA_1~~~cdaA_2~~~cdaA	cdaA_1;cdaA_2;cdaA	Cyclic di-AMP synthase CdaA	97	97	100.0	core	693
cdu1	cdu1	Deubiquitinase and deneddylase Dub1	97	97	100.0	core	1257
cdu2_2~~~cdu2_1~~~cdu2	cdu2_2;cdu2_1;cdu2	Deubiquitinase and deneddylase Dub2	97	97	100.0	core	1020
chxR	chxR	Atypical response regulator protein ChxR	97	97	100.0	core	702
clpB1	clpB1	Chaperone protein ClpB 1	97	97	100.0	core	2604
clpC	clpC	ATP-dependent Clp protease ATP-binding subunit ClpC	97	97	100.0	core	2565
clpP	clpP	ATP-dependent Clp protease proteolytic subunit	97	97	100.0	core	612
clpP1	clpP1	ATP-dependent Clp protease proteolytic subunit 1	97	97	100.0	core	579
clpX	clpX	ATP-dependent Clp protease ATP-binding subunit ClpX	97	97	100.0	core	1260
clsA_1	clsA_1	Cardiolipin synthase A	97	97	100.0	core	1161
clsA_2	;clsA_2	hypothetical protein;Cardiolipin synthase A	97	97	100.0	core	1467
clsA_3	;clsA_3	hypothetical protein;Cardiolipin synthase A	97	97	100.0	core	942
clsA_4~~~clsA_3	;clsA_4;clsA_3	hypothetical protein;Cardiolipin synthase A;Cardiolipin synthase	97	97	100.0	core	1215
clsA_5~~~clsA_3~~~clsA_4	clsA_5;clsA_3;;clsA_4	Cardiolipin synthase A;hypothetical protein	97	97	100.0	core	1347
cmk	cmk	Cytidylate kinase	97	97	100.0	core	651
coaE	coaE	Dephospho-CoA kinase	97	97	100.0	core	609
cpdA	cpdA	3'5'-cyclic adenosine monophosphate phosphodiesterase CpdA	97	97	100.0	core	873
cpoB	cpoB	Cell division coordinator CpoB	97	97	100.0	core	957
crp	crp	CRP-like cAMP-activated global transcriptional regulator	97	97	100.0	core	414
csd	csd	putative cysteine desulfurase	97	97	100.0	core	1206
cydA	cydA	Cytochrome bd ubiquinol oxidase subunit 1	97	97	100.0	core	1341
cysJ	cysJ	Sulfite reductase [NADPH] flavoprotein alpha-component	97	97	100.0	core	1056
cysQ	cysQ	3'(2')5'-bisphosphate nucleotidase CysQ	97	97	100.0	core	1029
cysS	cysS	Cysteine--tRNA ligase	97	97	100.0	core	1494
dapA	dapA	4-hydroxy-tetrahydrodipicolinate synthase	97	97	100.0	core	861
dapB	dapB	4-hydroxy-tetrahydrodipicolinate reductase	97	97	100.0	core	762
dapF	dapF	Diaminopimelate epimerase	97	97	100.0	core	828
dapL	dapL	LL-diaminopimelate aminotransferase	97	97	100.0	core	1185
dauA	dauA	C4-dicarboxylic acid transporter DauA	97	97	100.0	core	1701
dcd	dcd	dCTP deaminase	97	97	100.0	core	573
ddpF	ddpF	putative DD-dipeptide transport ATP-binding protein DdpF	97	97	100.0	core	744
def	def	Peptide deformylase	97	97	100.0	core	546
der	der	GTPase Der	97	97	100.0	core	1473
dinG_1	dinG_1	3'-5' exonuclease DinG	97	97	100.0	core	699
dinG_2	dinG_2	3'-5' exonuclease DinG	97	97	100.0	core	753
dnaA_1	dnaA_1	Chromosomal replication initiator protein DnaA	97	97	100.0	core	1371
dnaA_2~~~dnaA_3	dnaA_2;dnaA_3	Chromosomal replication initiator protein DnaA	97	97	100.0	core	1413
dnaC	dnaC	Replicative DNA helicase	97	97	100.0	core	1419
dnaE	dnaE	DNA polymerase III subunit alpha	97	97	100.0	core	3714
dnaG	dnaG	DNA primase	97	97	100.0	core	1788
dnaJ	dnaJ	Chaperone protein DnaJ	97	97	100.0	core	1179
dnaK	dnaK	Chaperone protein DnaK	97	97	100.0	core	1983
dnaN	dnaN	Beta sliding clamp	97	97	100.0	core	1101
dppE	dppE	Dipeptide-binding protein DppE	97	97	100.0	core	1590
dsbD	dsbD	Thiol:disulfide interchange protein DsbD	97	97	100.0	core	2079
dsbH	dsbH	Disulfide bond reductase DsbH	97	97	100.0	core	495
dtd3	dtd3	D-aminoacyl-tRNA deacylase	97	97	100.0	core	792
dusB	dusB	tRNA-dihydrouridine synthase B	97	97	100.0	core	1005
dut	dut	Deoxyuridine 5'-triphosphate nucleotidohydrolase	97	97	100.0	core	438
dxr	dxr	1-deoxy-D-xylulose 5-phosphate reductoisomerase	97	97	100.0	core	1140
dxs_1	dxs_1	1-deoxy-D-xylulose-5-phosphate synthase	97	97	100.0	core	1923
dxs_2	dxs_2	1-deoxy-D-xylulose-5-phosphate synthase	97	97	100.0	core	2037
efp_1	efp_1	Elongation factor P	97	97	100.0	core	558
efp_2	efp_2	Elongation factor P	97	97	100.0	core	573
eno	eno	Enolase	97	97	100.0	core	1275
exbB	exbB	Biopolymer transport protein ExbB	97	97	100.0	core	699
fabD	fabD	Malonyl CoA-acyl carrier protein transacylase	97	97	100.0	core	927
fabF	fabF	3-oxoacyl-[acyl-carrier-protein] synthase 2	97	97	100.0	core	1257
fabG	fabG	3-oxoacyl-[acyl-carrier-protein] reductase FabG	97	97	100.0	core	747
fabH	fabH	3-oxoacyl-[acyl-carrier-protein] synthase 3	97	97	100.0	core	1026
fabI	fabI	Enoyl-[acyl-carrier-protein] reductase [NADH] FabI	97	97	100.0	core	897
fabZ	fabZ	3-hydroxyacyl-[acyl-carrier-protein] dehydratase FabZ	97	97	100.0	core	462
fbaB	fbaB	Fructose-bisphosphate aldolase class 1	97	97	100.0	core	1047
fbiB	fbiB	Bifunctional F420 biosynthesis protein FbiB	97	97	100.0	core	732
fbpC2	fbpC2	Fe(3+) ions import ATP-binding protein FbpC 2	97	97	100.0	core	693
ffh	ffh	Signal recognition particle protein	97	97	100.0	core	1347
flhA	flhA	Flagellar biosynthesis protein FlhA	97	97	100.0	core	1818
fliY	fliY	L-cystine-binding protein FliY	97	97	100.0	core	786
fmt	fmt	Methionyl-tRNA formyltransferase	97	97	100.0	core	951
folD	folD	Bifunctional protein FolD protein	97	97	100.0	core	864
frdA_2~~~frdA_1~~~frdA	frdA_2;frdA_1;frdA	Fumarate reductase flavoprotein subunit	97	97	100.0	core	1881
frdB	;frdB	hypothetical protein;Fumarate reductase iron-sulfur subunit	97	97	100.0	core	717
frr	frr	Ribosome-recycling factor	97	97	100.0	core	540
ftsH	ftsH	ATP-dependent zinc metalloprotease FtsH	97	97	100.0	core	2742
ftsI	ftsI	Peptidoglycan DD-transpeptidase FtsI	97	97	100.0	core	1944
ftsK	ftsK	DNA translocase FtsK	97	97	100.0	core	2439
ftsW	ftsW	putative peptidoglycan glycosyltransferase FtsW	97	97	100.0	core	1158
ftsY	ftsY	Signal recognition particle receptor FtsY	97	97	100.0	core	855
fumC_3~~~fumC_2~~~fumC_1~~~fumC	fumC_3;fumC_2;fumC_1;fumC	Fumarate hydratase class II	97	97	100.0	core	1392
fusA	fusA	Elongation factor G	97	97	100.0	core	2085
gadC	gadC	Glutamate/gamma-aminobutyrate antiporter	97	97	100.0	core	1401
gap	gap	Glyceraldehyde-3-phosphate dehydrogenase	97	97	100.0	core	1005
gatA	gatA	Glutamyl-tRNA(Gln) amidotransferase subunit A	97	97	100.0	core	1476
gatB	gatB	Aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase subunit B	97	97	100.0	core	1467
gcvH	gcvH	Glycine cleavage system H protein	97	97	100.0	core	354
glgA	glgA	Glycogen synthase	97	97	100.0	core	1425
glgB	glgB	14-alpha-glucan branching enzyme GlgB	97	97	100.0	core	2217
glgC	glgC	Glucose-1-phosphate adenylyltransferase	97	97	100.0	core	1326
glgX	glgX	Glycogen operon protein GlgX	97	97	100.0	core	2073
glmM	glmM	Phosphoglucosamine mutase	97	97	100.0	core	1377
glmS	glmS	Glutamine--fructose-6-phosphate aminotransferase [isomerizing]	97	97	100.0	core	1821
glmU	glmU	Bifunctional protein GlmU	97	97	100.0	core	618
gltP	gltP	Proton/glutamate-aspartate symporter	97	97	100.0	core	1248
gltT	gltT	Proton/sodium-glutamate symport protein	97	97	100.0	core	1239
gltX	gltX	Glutamate--tRNA ligase	97	97	100.0	core	1521
glyA	glyA	Serine hydroxymethyltransferase	97	97	100.0	core	1494
gmk	gmk	Guanylate kinase	97	97	100.0	core	618
gndA	gndA	6-phosphogluconate dehydrogenase NADP(+)-dependent decarboxylating	97	97	100.0	core	1443
gph	gph	Phosphoglycolate phosphatase	97	97	100.0	core	675
gpmA	gpmA	23-bisphosphoglycerate-dependent phosphoglycerate mutase	97	97	100.0	core	681
gpsA	gpsA	Glycerol-3-phosphate dehydrogenase [NAD(P)+]	97	97	100.0	core	1005
greA	greA	Transcription elongation factor GreA	97	97	100.0	core	2148
groL1	groL1	60 kDa chaperonin 1	97	97	100.0	core	1602
groL_1	groL_1	60 kDa chaperonin	97	97	100.0	core	1635
groL_2	groL_2	60 kDa chaperonin	97	97	100.0	core	1539
groS	groS	10 kDa chaperonin	97	97	100.0	core	309
group_0		hypothetical protein	97	97	100.0	core	2508
group_1		hypothetical protein	97	97	100.0	core	1962
group_10		hypothetical protein	97	97	100.0	core	156
group_100		hypothetical protein	97	97	100.0	core	1182
group_101		hypothetical protein	97	97	100.0	core	2634
group_102		hypothetical protein	97	97	100.0	core	1173
group_103		hypothetical protein	97	97	100.0	core	1134
group_104		8-amino-7-oxononanoate synthase/2-amino-3-ketobutyrate coenzyme A ligase	97	97	100.0	core	1134
group_105		hypothetical protein	97	97	100.0	core	1122
group_106		hypothetical protein	97	97	100.0	core	1110
group_107		hypothetical protein	97	97	100.0	core	1101
group_108		hypothetical protein	97	97	100.0	core	1092
group_109		hypothetical protein	97	97	100.0	core	1092
group_11		hypothetical protein	97	97	100.0	core	1179
group_110		putative peptidase	97	97	100.0	core	1071
group_111		hypothetical protein	97	97	100.0	core	1065
group_112		hypothetical protein	97	97	100.0	core	1053
group_113		hypothetical protein	97	97	100.0	core	1053
group_114		hypothetical protein	97	97	100.0	core	1023
group_115		hypothetical protein	97	97	100.0	core	1008
group_116		hypothetical protein	97	97	100.0	core	1002
group_117		hypothetical protein	97	97	100.0	core	999
group_118		hypothetical protein	97	97	100.0	core	999
group_119		hypothetical protein	97	97	100.0	core	996
group_12		hypothetical protein	97	97	100.0	core	1698
group_120		hypothetical protein	97	97	100.0	core	993
group_121		hypothetical protein	97	97	100.0	core	990
group_122		hypothetical protein	97	97	100.0	core	990
group_123		hypothetical protein	97	97	100.0	core	981
group_124		hypothetical protein	97	97	100.0	core	978
group_125		hypothetical protein	97	97	100.0	core	966
group_126		hypothetical protein	97	97	100.0	core	957
group_127		hypothetical protein	97	97	100.0	core	951
group_128		hypothetical protein	97	97	100.0	core	948
group_129		hypothetical protein	97	97	100.0	core	945
group_13		hypothetical protein	97	97	100.0	core	648
group_130		hypothetical protein	97	97	100.0	core	930
group_131		hypothetical protein	97	97	100.0	core	921
group_132		hypothetical protein	97	97	100.0	core	918
group_133		hypothetical protein	97	97	100.0	core	912
group_134		hypothetical protein	97	97	100.0	core	897
group_135		hypothetical protein	97	97	100.0	core	873
group_136		hypothetical protein	97	97	100.0	core	870
group_137		hypothetical protein	97	97	100.0	core	870
group_138		hypothetical protein	97	97	100.0	core	870
group_139		hypothetical protein	97	97	100.0	core	867
group_14		hypothetical protein	97	97	100.0	core	696
group_140		hypothetical protein	97	97	100.0	core	852
group_141		putative protein CT_671	97	97	100.0	core	852
group_142		hypothetical protein	97	97	100.0	core	837
group_143		hypothetical protein	97	97	100.0	core	831
group_144		hypothetical protein	97	97	100.0	core	807
group_145		hypothetical protein	97	97	100.0	core	795
group_146		hypothetical protein	97	97	100.0	core	792
group_147		hypothetical protein	97	97	100.0	core	792
group_148		hypothetical protein	97	97	100.0	core	789
group_149		hypothetical protein	97	97	100.0	core	786
group_15		hypothetical protein	97	97	100.0	core	537
group_150		hypothetical protein	97	97	100.0	core	786
group_151		hypothetical protein	97	97	100.0	core	783
group_152		hypothetical protein	97	97	100.0	core	774
group_153		hypothetical protein	97	97	100.0	core	765
group_154		hypothetical protein	97	97	100.0	core	759
group_155		hypothetical protein	97	97	100.0	core	750
group_156		hypothetical protein	97	97	100.0	core	747
group_157		hypothetical protein	97	97	100.0	core	744
group_158		hypothetical protein	97	97	100.0	core	735
group_159		hypothetical protein	97	97	100.0	core	732
group_16		hypothetical protein	97	97	100.0	core	1827
group_160		hypothetical protein	97	97	100.0	core	732
group_161		hypothetical protein	97	97	100.0	core	729
group_162		hypothetical protein	97	97	100.0	core	720
group_163		hypothetical protein	97	97	100.0	core	717
group_164		hypothetical protein	97	97	100.0	core	717
group_165		hypothetical protein	97	97	100.0	core	699
group_166		queuosine precursor transporter	97	97	100.0	core	687
group_167		putative oxidoreductase CT_610	97	97	100.0	core	681
group_168		hypothetical protein	97	97	100.0	core	678
group_169		hypothetical protein	97	97	100.0	core	672
group_17		hypothetical protein	97	97	100.0	core	318
group_170		hypothetical protein	97	97	100.0	core	672
