accession	file	md5_ok	n_sequences	total_len	reported_len	length_match	longest_seq	small_replicons
GCF_000008725.1	GCF_000008725.1.fna	True	1	1042519	1042519	True	1042519	0
GCF_000012125.1	GCF_000012125.1.fna	True	2	1051969	1051969	True	1044459	1
GCF_000026905.1	GCF_000026905.1.fna	True	1	1044282	1044282	True	1044282	0
GCF_000026925.1	GCF_000026925.1.fna	True	1	1044352	1044352	True	1044352	0
GCF_000068525.2	GCF_000068525.2.fna	True	1	1038863	1038863	True	1038863	0
GCF_000068585.1	GCF_000068585.1.fna	True	1	1038842	1038842	True	1038842	0
GCF_000092485.1	GCF_000092485.1.fna	True	2	1050015	1050015	True	1042522	1
GCF_000092665.1	GCF_000092665.1.fna	True	1	1042996	1042996	True	1042996	0
GCF_000092685.1	GCF_000092685.1.fna	True	1	1042810	1042810	True	1042810	0
GCF_000092705.1	GCF_000092705.1.fna	True	1	1042354	1042354	True	1042354	0
GCF_000092725.1	GCF_000092725.1.fna	True	1	1042875	1042875	True	1042875	0
GCF_000092745.1	GCF_000092745.1.fna	True	1	1043025	1043025	True	1043025	0
GCF_000092805.1	GCF_000092805.1.fna	True	1	1042811	1042811	True	1042811	0
GCF_000093005.1	GCF_000093005.1.fna	True	2	1050013	1050013	True	1042520	1
GCF_000173475.1	GCF_000173475.1.fna	True	1	1043181	1043181	True	1043181	0
GCF_000173495.1	GCF_000173495.1.fna	True	1	1043182	1043182	True	1043182	0
GCF_000173515.1	GCF_000173515.1.fna	True	1	1048006	1048006	True	1048006	0
GCF_000173535.1	GCF_000173535.1.fna	True	1	1046064	1046064	True	1046064	0
GCF_000174055.1	GCF_000174055.1.fna	True	1	1042757	1042757	True	1042757	0
GCF_000175515.1	GCF_000175515.1.fna	True	1	1076624	1076624	True	1076624	0
GCF_000210495.1	GCF_000210495.1.fna	True	1	1042839	1042839	True	1042839	0
GCF_000220105.1	GCF_000220105.1.fna	True	1	1038313	1038313	True	1038313	0
GCF_000226605.1	GCF_000226605.1.fna	True	2	1051806	1051806	True	1044326	1
GCF_000284475.1	GCF_000284475.1.fna	True	1	1044325	1044325	True	1044325	0
GCF_000304495.1	GCF_000304495.1.fna	True	1	1042903	1042903	True	1042903	0
GCF_000304515.1	GCF_000304515.1.fna	True	1	1042736	1042736	True	1042736	0
GCF_000304535.1	GCF_000304535.1.fna	True	1	1042743	1042743	True	1042743	0
GCF_000318525.1	GCF_000318525.1.fna	True	2	1051528	1051528	True	1044026	1
GCF_000318565.1	GCF_000318565.1.fna	True	2	1051879	1051879	True	1044377	1
GCF_000318645.1	GCF_000318645.1.fna	True	2	1050091	1050091	True	1042589	1
GCF_000318765.1	GCF_000318765.1.fna	True	2	1050130	1050130	True	1042630	1
GCF_000318785.1	GCF_000318785.1.fna	True	2	1050283	1050283	True	1042783	1
GCF_000318825.1	GCF_000318825.1.fna	True	1	1039261	1039261	True	1039261	0
GCF_000318845.1	GCF_000318845.1.fna	True	2	1046584	1046584	True	1039084	1
GCF_000318865.1	GCF_000318865.1.fna	True	2	1046319	1046319	True	1038819	1
GCF_000318885.1	GCF_000318885.1.fna	True	1	1038839	1038839	True	1038839	0
GCF_000318905.1	GCF_000318905.1.fna	True	2	1046364	1046364	True	1038864	1
GCF_000318925.1	GCF_000318925.1.fna	True	2	1046337	1046337	True	1038864	1
GCF_000318985.1	GCF_000318985.1.fna	True	2	1046220	1046220	True	1038720	1
GCF_000319105.1	GCF_000319105.1.fna	True	2	1046672	1046672	True	1039257	1
GCF_000364765.1	GCF_000364765.1.fna	True	2	1046341	1046341	True	1038842	1
GCF_000364785.1	GCF_000364785.1.fna	True	2	1046341	1046341	True	1038842	1
GCF_000441585.1	GCF_000441585.1.fna	True	1	1046087	1046087	True	1046087	0
GCF_000441615.1	GCF_000441615.1.fna	True	1	1038817	1038817	True	1038817	0
GCF_000441635.1	GCF_000441635.1.fna	True	1	1083893	1083893	True	1083893	0
GCF_000441655.1	GCF_000441655.1.fna	True	1	1038797	1038797	True	1038797	0
GCF_000441675.1	GCF_000441675.1.fna	True	1	1038792	1038792	True	1038792	0
GCF_000441695.1	GCF_000441695.1.fna	True	1	1046171	1046171	True	1046171	0
GCF_000441715.1	GCF_000441715.1.fna	True	1	1083842	1083842	True	1083842	0
GCF_000441735.1	GCF_000441735.1.fna	True	1	1061854	1061854	True	1061854	0
GCF_000441755.1	GCF_000441755.1.fna	True	1	1038839	1038839	True	1038839	0
GCF_000441775.1	GCF_000441775.1.fna	True	1	1080953	1080953	True	1080953	0
GCF_000441795.1	GCF_000441795.1.fna	True	1	1038442	1038442	True	1038442	0
GCF_000441815.1	GCF_000441815.1.fna	True	1	1038870	1038870	True	1038870	0
GCF_000507225.1	GCF_000507225.1.fna	True	2	1051055	1051055	True	1043554	1
GCF_000590575.1	GCF_000590575.1.fna	True	1	1042588	1042588	True	1042588	0
GCF_000590615.1	GCF_000590615.1.fna	True	1	1042767	1042767	True	1042767	0
GCF_000590635.1	GCF_000590635.1.fna	True	1	1042853	1042853	True	1042853	0
GCF_000590675.1	GCF_000590675.1.fna	True	1	1042752	1042752	True	1042752	0
GCF_000590755.1	GCF_000590755.1.fna	True	1	1043207	1043207	True	1043207	0
GCF_000971705.1	GCF_000971705.1.fna	True	2	1046364	1046364	True	1038864	1
GCF_000971725.1	GCF_000971725.1.fna	True	2	1046364	1046364	True	1038864	1
GCF_001183765.1	GCF_001183765.1.fna	True	2	1050173	1050173	True	1042680	1
GCF_001183805.1	GCF_001183805.1.fna	True	2	1050536	1050536	True	1043034	1
GCF_001183825.1	GCF_001183825.1.fna	True	2	1050553	1050553	True	1043060	1
GCF_001183845.1	GCF_001183845.1.fna	True	2	1049505	1049505	True	1042034	1
GCF_001655335.1	GCF_001655335.1.fna	True	2	1050521	1050521	True	1043019	1
GCF_001655375.1	GCF_001655375.1.fna	True	2	1050509	1050509	True	1043007	1
GCF_001655415.1	GCF_001655415.1.fna	True	2	1050505	1050505	True	1043003	1
GCF_001655455.1	GCF_001655455.1.fna	True	2	1050210	1050210	True	1042717	1
GCF_001655495.1	GCF_001655495.1.fna	True	2	1056419	1056419	True	1048917	1
GCF_001655535.1	GCF_001655535.1.fna	True	2	1055535	1055535	True	1048033	1
