threshold	cluster	size	members	bioprojects
99.999	1	6	GCF_000068525.2:UCH-1; GCF_000318905.1:L2b/8200/07; GCF_000318925.1:L2b/UCH-2; GCF_000318985.1:L2b/795; GCF_000971705.1:L2b/CS19/08; GCF_000971725.1:L2b/CS784/08	PRJEA71107;PRJEA71109;PRJEA71115;PRJNA266925;PRJNA266926;PRJNA28585
99.999	2	4	GCF_000068585.1:L2/434/Bu; GCF_000318885.1:L2/25667R; GCF_000364765.1:L2/434/Bu(i); GCF_000364785.1:L2/434/Bu(f)	PRJEA71105;PRJNA182150;PRJNA182165;PRJNA28583
99.999	3	2	GCF_000092485.1:D-EC; GCF_000093005.1:D-LC	PRJNA48087;PRJNA48089
99.999	4	2	GCF_000092685.1:G/9768; GCF_000092805.1:G/9301	PRJNA43145;PRJNA45851
99.999	5	2	GCF_000319105.1:L3/404/LN; GCF_047414635.1:L3/404/LN	PRJEA71127;PRJNA1137892
99.999	6	2	GCF_002776845.1:SQ20; GCF_002776885.1:SQ24	PRJNA338746
99.999	7	2	GCF_002777035.1:SQ01; GCF_002777075.1:SQ05	PRJNA338746
99.999	8	2	GCF_002777135.1:SQ15; GCF_002777155.1:SQ19	PRJNA338746
99.999	9	1	GCF_000008725.1:D/UW-3/CX	PRJNA45
99.999	10	1	GCF_000012125.1:A/HAR-13	PRJNA13885
99.999	11	1	GCF_000026905.1:B/TZ1A828/OT	PRJEA32653
99.999	12	1	GCF_000026925.1:Jali20	PRJEA32655
99.999	13	1	GCF_000092665.1:E/150	PRJNA43143
99.999	14	1	GCF_000092705.1:G/11222	PRJNA43147
99.999	15	1	GCF_000092725.1:G/11074	PRJNA43149
99.999	16	1	GCF_000092745.1:E/11023	PRJNA43141
99.999	17	1	GCF_000173475.1:6276	PRJNA32183
99.999	18	1	GCF_000173495.1:6276s	PRJNA32185
99.999	19	1	GCF_000173515.1:70	PRJNA32187
99.999	20	1	GCF_000173535.1:70s	PRJNA32189
99.999	21	1	GCF_000174055.1:2923	PRJNA32539
99.999	22	1	GCF_000210495.1:Sweden2	PRJEA43167
99.999	23	1	GCF_000220105.1:L2c	PRJNA47581
99.999	24	1	GCF_000226605.1:A2497	PRJNA53575
99.999	25	1	GCF_000284475.1:A2497	PRJEA32651
99.999	26	1	GCF_000304495.1:E/SW3	PRJEA71079
99.999	27	1	GCF_000304515.1:F/SW4	PRJEA71085
99.999	28	1	GCF_000304535.1:F/SW5	PRJEA71087
99.999	29	1	GCF_000318525.1:A/363	PRJEA71065
99.999	30	1	GCF_000318565.1:A/7249	PRJEA71069
99.999	31	1	GCF_000318645.1:E/Bour	PRJEA71077
99.999	32	1	GCF_000318765.1:Ia/SotonIa1	PRJEA71093
99.999	33	1	GCF_000318785.1:Ia/SotonIa3	PRJEA71095
99.999	34	1	GCF_000318825.1:L1/440/LN	PRJEA71099
99.999	35	1	GCF_000318845.1:L1/115	PRJEA71101
99.999	36	1	GCF_000318865.1:L1/224	PRJEA71103
99.999	37	1	GCF_000441585.1:RC-F/69	PRJNA53845
99.999	38	1	GCF_000441615.1:RC-L2(s)/46	PRJNA53847
99.999	39	1	GCF_000441655.1:RC-J/943	PRJNA53851
99.999	40	1	GCF_000441675.1:RC-J/953	PRJNA53853
99.999	41	1	GCF_000441695.1:RC-L2(s)/3	PRJNA53855
99.999	42	1	GCF_000441755.1:RC-J/966	PRJNA53861
99.999	43	1	GCF_000441795.1:RC-J/971	PRJNA66011
99.999	44	1	GCF_000441815.1:RC-L2/55	PRJNA66013
99.999	45	1	GCF_000507225.1:C/TW-3	PRJNA230246
99.999	46	1	GCF_000590575.1:F/1-93	PRJNA213111
99.999	47	1	GCF_000590615.1:F/6-94	PRJNA213111
99.999	48	1	GCF_000590635.1:F/11-96	PRJNA213111
99.999	49	1	GCF_000590675.1:D/13-96	PRJNA213111
99.999	50	1	GCF_000590755.1:J/31-98	PRJNA213111
99.999	51	1	GCF_001655335.1:E-103	PRJNA316787
99.999	52	1	GCF_001655375.1:E-160	PRJNA316787
99.999	53	1	GCF_001655415.1:E-547	PRJNA316787
99.999	54	1	GCF_001655455.1:E-8873	PRJNA316787
99.999	55	1	GCF_001655495.1:E-32931	PRJNA316787
99.999	56	1	GCF_001655535.1:E-DK-20	PRJNA316787
99.999	57	1	GCF_001655575.1:F-6068	PRJNA316787
99.999	58	1	GCF_002776745.1:SQ32	PRJNA338746
99.999	59	1	GCF_002776795.1:SQ29	PRJNA338746
99.999	60	1	GCF_002776955.1:SQ09	PRJNA338746
99.999	61	1	GCF_002776975.1:SQ10	PRJNA338746
99.999	62	1	GCF_002776995.1:SQ12	PRJNA338746
99.999	63	1	GCF_002777015.1:SQ14	PRJNA338746
99.999	64	1	GCF_002777055.1:SQ02	PRJNA338746
99.999	65	1	GCF_002777095.1:SQ25	PRJNA338746
99.999	66	1	GCF_025723025.1:L2f	PRJNA886480
99.999	67	1	GCF_047416045.1:L2-D/SF/L2c	PRJNA1137892
99.999	68	1	GCF_047416055.1:L1/440/LN	PRJNA1137892
99.999	69	1	GCF_047416065.1:K/UW-31/Cx	PRJNA1137892
99.999	70	1	GCF_047417355.1:J/UW-36/Cx	PRJNA1137892
99.999	71	1	GCF_047417365.1:Ia/UW-202	PRJNA1137892
99.999	72	1	GCF_047417375.1:Ja/UW-92	PRJNA1137892
99.999	73	1	GCF_047418505.1:G/UW-57/Cx	PRJNA1137892
99.999	74	1	GCF_047418515.1:H/UW-4/Cx	PRJNA1137892
99.999	75	1	GCF_047418525.1:I/UW-12/UR	PRJNA1137892
99.999	76	1	GCF_047419415.1:F/IC-Cal-13	PRJNA1137892
99.999	77	1	GCF_047419425.1:E/bour	PRJNA1137892
99.999	78	1	GCF_047419435.1:Da/TW-448	PRJNA1137892
99.999	79	1	GCF_047420685.1:D/UW-3/Cx	PRJNA1137892
99.999	80	1	GCF_047420695.1:C/TW-3/OT	PRJNA1137892
99.999	81	1	GCF_047420705.1:Ba/Apache-2	PRJNA1137892
99.999	82	1	GCF_047421435.1:A/Sa-1	PRJNA1137892
99.999	83	1	GCF_059083935.1:D/Ep6/S19-121	PRJNA1274633
99.99	1	7	GCF_000068525.2:UCH-1; GCF_000318905.1:L2b/8200/07; GCF_000318925.1:L2b/UCH-2; GCF_000318985.1:L2b/795; GCF_000971705.1:L2b/CS19/08; GCF_000971725.1:L2b/CS784/08; GCF_025723025.1:L2f	PRJEA71107;PRJEA71109;PRJEA71115;PRJNA266925;PRJNA266926;PRJNA28585;PRJNA886480
99.99	2	4	GCF_000008725.1:D/UW-3/CX; GCF_000092485.1:D-EC; GCF_000093005.1:D-LC; GCF_047420685.1:D/UW-3/Cx	PRJNA1137892;PRJNA45;PRJNA48087;PRJNA48089
99.99	3	4	GCF_000068585.1:L2/434/Bu; GCF_000318885.1:L2/25667R; GCF_000364765.1:L2/434/Bu(i); GCF_000364785.1:L2/434/Bu(f)	PRJEA71105;PRJNA182150;PRJNA182165;PRJNA28583
99.99	4	4	GCF_000226605.1:A2497; GCF_000284475.1:A2497; GCF_000318525.1:A/363; GCF_000318565.1:A/7249	PRJEA32651;PRJEA71065;PRJEA71069;PRJNA53575
99.99	5	3	GCF_000092685.1:G/9768; GCF_000092725.1:G/11074; GCF_000092805.1:G/9301	PRJNA43145;PRJNA43149;PRJNA45851
99.99	6	3	GCF_000304495.1:E/SW3; GCF_001655375.1:E-160; GCF_001655415.1:E-547	PRJEA71079;PRJNA316787
99.99	7	3	GCF_000318765.1:Ia/SotonIa1; GCF_000318785.1:Ia/SotonIa3; GCF_047417365.1:Ia/UW-202	PRJEA71093;PRJEA71095;PRJNA1137892
99.99	8	3	GCF_002776955.1:SQ09; GCF_002776975.1:SQ10; GCF_002777015.1:SQ14	PRJNA338746
99.99	9	3	GCF_002777035.1:SQ01; GCF_002777055.1:SQ02; GCF_002777075.1:SQ05	PRJNA338746
99.99	10	2	GCF_000173475.1:6276; GCF_000173495.1:6276s	PRJNA32183;PRJNA32185
99.99	11	2	GCF_000173515.1:70; GCF_000173535.1:70s	PRJNA32187;PRJNA32189
99.99	12	2	GCF_000174055.1:2923; GCF_000590675.1:D/13-96	PRJNA213111;PRJNA32539
99.99	13	2	GCF_000220105.1:L2c; GCF_047416045.1:L2-D/SF/L2c	PRJNA1137892;PRJNA47581
99.99	14	2	GCF_000304535.1:F/SW5; GCF_047419415.1:F/IC-Cal-13	PRJEA71087;PRJNA1137892
99.99	15	2	GCF_000318645.1:E/Bour; GCF_047419425.1:E/bour	PRJEA71077;PRJNA1137892
99.99	16	2	GCF_000318825.1:L1/440/LN; GCF_047416055.1:L1/440/LN	PRJEA71099;PRJNA1137892
99.99	17	2	GCF_000318845.1:L1/115; GCF_000318865.1:L1/224	PRJEA71101;PRJEA71103
99.99	18	2	GCF_000319105.1:L3/404/LN; GCF_047414635.1:L3/404/LN	PRJEA71127;PRJNA1137892
99.99	19	2	GCF_000507225.1:C/TW-3; GCF_047420695.1:C/TW-3/OT	PRJNA1137892;PRJNA230246
99.99	20	2	GCF_002776745.1:SQ32; GCF_002776795.1:SQ29	PRJNA338746
99.99	21	2	GCF_002776845.1:SQ20; GCF_002776885.1:SQ24	PRJNA338746
99.99	22	2	GCF_002777095.1:SQ25; GCF_047417375.1:Ja/UW-92	PRJNA1137892;PRJNA338746
99.99	23	2	GCF_002777135.1:SQ15; GCF_002777155.1:SQ19	PRJNA338746
99.99	24	1	GCF_000012125.1:A/HAR-13	PRJNA13885
99.99	25	1	GCF_000026905.1:B/TZ1A828/OT	PRJEA32653
99.99	26	1	GCF_000026925.1:Jali20	PRJEA32655
99.99	27	1	GCF_000092665.1:E/150	PRJNA43143
99.99	28	1	GCF_000092705.1:G/11222	PRJNA43147
99.99	29	1	GCF_000092745.1:E/11023	PRJNA43141
99.99	30	1	GCF_000210495.1:Sweden2	PRJEA43167
99.99	31	1	GCF_000304515.1:F/SW4	PRJEA71085
